pipeline,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
CSP_LDA,0.3415492957746479,0.3416205566733736,0.2889251997095134,0.3416205566733736,0.7807068414129047,0.268750929635602,0.12258789320644992,0.6486960852977772,0.33296146715073893,0.2558726659962829,694.109375,0.0,1.0260186195373535
FBCSP,0.29577464788732394,0.2987508383635144,0.4011160714285714,0.2987508383635144,0.7659697161987975,0.2174194774787052,0.06395741665430699,0.6062821832187503,0.3741045290311112,8.436563988806496,70.859375,0.0,15.788151025772095
Bandpower,0.33098591549295775,0.3317781690140845,0.40434027777777776,0.3317781690140845,0.7771727274834572,0.3025445877522231,0.10868847043277174,0.5738548496530571,0.3197015797985823,0.6848758375140983,245.984375,0.0,0.21904587745666504
Riemannian,0.24647887323943662,0.24320226917057902,0.1534876041454989,0.24320226917057902,0.7477742786584907,0.1189862369922793,-0.008981489167427581,0.5087924656155789,0.26659558304502506,0.7973875797970195,507.15625,0.0,0.2133171558380127
EEGNet,0.2992957746478873,0.2991686228482003,0.2548726635683157,0.2991686228482003,0.7663197488581639,0.25073764904833395,0.06537233954588317,0.5795341882335256,0.32116327361762087,1.5040241496663698,268.125,0.0,7.0290679931640625
ShallowConvNet,0.3591549295774648,0.35968309859154923,0.3488540259823783,0.35968309859154923,0.7863383572462814,0.35334712302509685,0.1455681555195556,0.6661888658895988,0.40274002472532616,1.6201029361133845,372.078125,0.0,2.1218130588531494
DeepConvNet,0.4225352112676056,0.42476386094343843,0.33224263277016985,0.42476386094343843,0.8080317412616532,0.34330606691043586,0.231812109317016,0.6458017646315279,0.4171814899800264,1.6705091570464659,247.609375,0.0,3.4162659645080566
