,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.4225352112676056,0.42476386094343843,0.33224263277016985,0.42476386094343843,0.8080317412616532,0.34330606691043586,0.231812109317016,0.6458017646315279,0.4171814899800264,1.6705091570464659,247.609375,0.0,3.4162659645080566
mean,0.4225352112676056,0.42476386094343843,0.33224263277016985,0.42476386094343843,0.8080317412616532,0.34330606691043586,0.231812109317016,0.6458017646315279,0.4171814899800264,1.6705091570464659,247.609375,0.0,3.4162659645080566
