,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.3591549295774648,0.35968309859154923,0.3488540259823783,0.35968309859154923,0.7863383572462814,0.35334712302509685,0.1455681555195556,0.6661888658895988,0.40274002472532616,1.6201029361133845,372.078125,0.0,2.1218130588531494
mean,0.3591549295774648,0.35968309859154923,0.3488540259823783,0.35968309859154923,0.7863383572462814,0.35334712302509685,0.1455681555195556,0.6661888658895988,0.40274002472532616,1.6201029361133845,372.078125,0.0,2.1218130588531494
