,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.2992957746478873,0.2991686228482003,0.2548726635683157,0.2991686228482003,0.7663197488581639,0.25073764904833395,0.06537233954588317,0.5795341882335256,0.32116327361762087,1.5040241496663698,268.125,0.0,7.0290679931640625
mean,0.2992957746478873,0.2991686228482003,0.2548726635683157,0.2991686228482003,0.7663197488581639,0.25073764904833395,0.06537233954588317,0.5795341882335256,0.32116327361762087,1.5040241496663698,268.125,0.0,7.0290679931640625
